(233,0,1)
(240,0,2)
(247,0,3)
(254,0,4)
(291,0,4)
(306,0,4)
(320,0,3)
(335,0,2)
(350,0,1)
(357,0,2)
(3,0,3)
(11,0,4)
(49,0,4)
(63,0,4)
(79,0,3)
(92,0,2)
(108,0,1)
(115,0,2)
(122,0,3)
(131,0,4)
(166,0,4)
(181,1,4)
(194,1,3)
(209,1,2)
(225,1,1)
(232,1,2)
(239,1,3)
(247,1,4)
(284,1,4)
(299,1,4)
(315,1,3)
(328,1,2)
(343,1,1)
(350,1,2)
(357,1,3)
(5,1,4)
(43,1,4)
(58,1,4)
(73,1,3)
(87,1,2)
(102,1,1)
(109,1,2)
(117,1,3)
(124,1,4)
(161,1,4)
(177,1,4)
(191,2,3)
(205,2,2)
(222,2,2)
