(193,0,5)
(213,0,4)
(218,0,3)
(237,0,2)
(253,0,3)
(270,0,4)
(291,0,5)
(317,0,1)
(324,0,4)
(343,0,3)
(33,0,5)
(63,0,4)
(71,0,3)
(90,0,2)
(106,0,3)
(123,0,4)
(144,0,5)
(170,0,4)
(175,0,3)
(193,1,4)
(222,1,5)
(228,1,1)
(246,1,4)
(263,1,3)
(282,1,2)
(297,1,2)
(325,1,3)
(334,1,4)
(351,1,5)
(43,1,1)
(71,1,4)
(79,1,3)
(98,1,2)
(112,1,3)
(129,1,4)
(146,1,5)
(177,1,1)
(183,2,4)
(200,2,3)
(255,2,2)
(270,2,3)
(289,2,4)
(304,2,5)
(320,2,1)
(341,2,5)
(356,2,4)
(15,2,3)
(33,2,2)
(50,2,3)
(78,2,4)
(85,2,5)
(105,2,1)
(162,2,5)
(190,3,4)
(209,3,3)
(247,3,2)
(262,3,3)
(295,3,4)
(313,3,5)
(5,3,1)
(40,3,2)
(58,3,3)
(93,3,4)
(112,3,5)
(148,3,4)
(165,3,3)
(213,4,2)
(233,4,2)
(247,4,1)
(268,4,3)
(303,4,4)
(323,4,5)
(356,4,4)
(15,4,3)
(63,4,2)
(99,4,1)
(117,4,3)
(132,4,4)
(150,4,4)
(168,4,4)
(185,5,5)
(209,5,3)
(226,5,5)
(274,5,5)
(291,5,4)
(308,5,3)
(326,5,2)
(352,5,1)
(360,5,2)
(18,5,3)
(34,5,4)
(55,5,5)
(74,5,4)
(91,5,4)
(110,5,5)
(125,5,3)
(181,6,5)
(184,6,4)
(198,6,4)
(198,6,3)
(210,6,4)
(210,6,3)
(229,6,5)
(229,6,4)
(246,6,4)
(246,6,3)
(262,6,4)
(262,6,3)
(281,6,5)
(281,6,4)
(298,6,4)
(298,6,3)
(314,6,3)
(315,6,4)
(333,6,5)
(333,6,4)
(351,6,3)
(351,6,4)
(6,6,4)
(39,6,5)
(48,6,4)
(63,6,4)
(79,6,5)
(96,6,3)
(113,6,3)
(132,6,2)
(147,6,1)
(165,6,2)
(184,7,3)
(238,7,5)
(264,7,4)
(270,7,3)
(288,7,2)
(306,7,1)
(323,7,2)
(339,7,3)
(9,7,4)
(16,7,3)
(34,7,2)
(87,7,5)
(116,7,4)
(121,7,3)
(140,7,5)
(160,7,5)
(178,7,3)
(192,8,2)
(207,8,3)
(225,8,4)
(243,8,5)
(275,8,4)
(281,8,3)
(295,8,2)
(313,8,3)
(330,8,4)
(349,8,5)
(16,8,1)
(24,8,4)
(42,8,5)
(93,8,3)
(121,8,2)
(128,8,3)
(143,8,4)
(161,8,1)
(180,8,3)
(198,9,2)
(226,9,5)
(232,9,4)
(251,9,3)
(305,9,1)
(353,9,4)
(13,9,3)
(30,9,2)
(48,9,3)
(65,9,4)
(87,9,1)
(104,9,4)
(129,9,3)
(136,9,2)
(154,9,3)
(213,10,1)
(242,10,5)
(259,10,4)
(292,10,3)
(311,10,2)
(347,10,1)
(5,10,2)
(51,10,3)
(90,10,4)
(109,10,5)
(145,10,4)
(163,10,3)
(196,11,4)
(213,11,3)
(264,11,4)
(301,11,5)
(318,11,4)
(351,11,3)
(9,11,4)
(48,11,5)
(66,11,4)
(117,11,5)
(137,11,4)
(153,11,3)
(169,11,2)
(188,12,2)
(201,12,2)
(218,12,2)
(237,12,1)
(261,12,2)
(278,12,3)
(329,12,5)
(343,12,4)
(0,12,3)
(19,12,2)
(45,12,2)
(53,12,2)
(69,12,3)
(87,12,4)
(105,12,5)
(124,12,4)
(142,12,3)
(157,12,2)
(177,12,1)
(228,13,2)
(249,13,4)
(264,13,5)
(283,13,5)
(283,13,4)
(299,13,3)
(301,13,4)
(318,13,4)
(318,13,3)
(335,13,5)
(335,13,4)
(352,13,4)
(352,13,3)
(10,13,4)
(10,13,3)
(29,13,5)
(29,13,4)
(46,13,4)
(46,13,3)
(86,13,5)
(97,13,4)
(114,13,3)
(131,13,2)
(150,13,3)
(166,13,4)
(185,14,5)
(201,14,5)
(219,14,4)
(236,14,3)
(291,14,5)
(316,14,4)
(324,14,3)
(343,14,2)
(1,14,3)
(15,14,4)
(33,14,5)
(62,14,4)
(68,14,3)
(84,14,2)
(134,14,3)
(168,14,4)
(174,14,5)
(186,15,4)
(207,15,3)
(226,15,2)
(242,15,1)
(260,15,2)
(279,15,3)
(298,15,5)
(298,15,4)
(298,15,1)
