(180,0,5)
(236,0,3)
(284,0,1)
(337,0,4)
(24,0,2)
(77,0,5)
(128,0,4)
(177,0,3)
(226,1,2)
(277,1,1)
(328,1,2)
(20,1,3)
(49,1,4)
(55,1,5)
(73,1,5)
(120,1,4)
(172,1,3)
(222,2,2)
(272,2,1)
(322,2,2)
(11,2,3)
(39,2,4)
(45,2,5)
(64,2,4)
(116,2,3)
(165,2,2)
(201,3,1)
(248,3,2)
(315,3,3)
(8,3,4)
(56,3,5)
(109,3,4)
(159,3,3)
(209,4,2)
(256,4,1)
(310,4,2)
(359,4,3)
(54,4,4)
(102,4,4)
(117,4,5)
(134,4,3)
(152,4,4)
(250,5,5)
(303,5,4)
(354,5,3)
(28,5,2)
(95,5,1)
(110,5,2)
(132,5,2)
(147,5,3)
(162,5,2)
(179,5,2)
(196,6,1)
(212,6,2)
(229,6,2)
(249,6,3)
(262,6,2)
(346,6,4)
(39,6,3)
(86,6,2)
(136,6,1)
(188,7,2)
(239,7,3)
(270,7,4)
(275,7,5)
(290,7,4)
(340,7,3)
(28,7,2)
(80,7,1)
(109,7,2)
(114,7,3)
(131,7,4)
(162,7,5)
(167,7,4)
(181,8,3)
(199,8,2)
(221,8,1)
(235,8,2)
(258,8,3)
(265,8,4)
(283,8,5)
(335,8,4)
(1,8,4)
(7,8,4)
(24,8,3)
(42,8,2)
(59,8,1)
(75,8,2)
(102,8,3)
(111,8,4)
(127,8,5)
(178,8,4)
(225,9,3)
(242,9,2)
(258,9,1)
(275,9,2)
(292,9,3)
(309,9,4)
(328,9,5)
(352,9,4)
(2,9,3)
(19,9,2)
(71,9,1)
(102,9,2)
(119,9,3)
(152,9,4)
(170,9,5)
(203,10,4)
(219,10,3)
(271,10,2)
(302,10,3)
(321,10,2)
(353,10,1)
(12,10,2)
(48,10,1)
(62,10,2)
(110,10,3)
(144,10,4)
(163,10,5)
(197,11,4)
(213,11,3)
(247,11,2)
(263,11,1)
(310,11,2)
(345,11,3)
(4,11,4)
(22,11,5)
(39,11,4)
(55,11,4)
(70,11,3)
(88,11,2)
(104,11,1)
(157,11,2)
(171,11,3)
(189,12,4)
(206,12,5)
(256,12,4)
(273,12,3)
(290,12,2)
(308,12,1)
(324,12,2)
(339,12,3)
(356,12,4)
(49,12,5)
(49,12,4)
(63,12,3)
(64,12,5)
(80,12,3)
(81,12,5)
(98,12,4)
(100,12,5)
(115,12,3)
(116,12,5)
(132,12,3)
(133,12,5)
(148,12,4)
(150,12,5)
(165,12,3)
(167,12,5)
(183,13,3)
(184,13,5)
(200,13,4)
(202,13,5)
(217,13,3)
(218,13,5)
(262,13,4)
(270,13,3)
(285,13,3)
(302,13,2)
(318,13,3)
(334,13,3)
(353,13,4)
(8,13,3)
(23,13,2)
(40,13,1)
(95,13,5)
(95,13,4)
(118,13,4)
(119,13,3)
(127,13,2)
(129,13,3)
(143,13,1)
(144,13,2)
(161,13,2)
(162,13,3)
(178,13,3)
(179,13,4)
(194,14,5)
(194,14,4)
(218,14,3)
(220,14,5)
(228,14,2)
(230,14,5)
(243,14,5)
(243,14,1)
(293,14,2)
(293,14,1)
(322,14,1)
(323,14,3)
(332,14,4)
(336,14,2)
(350,14,3)
(351,14,1)
(6,14,2)
(10,14,1)
(28,14,2)
(29,14,3)
(40,14,4)
(59,14,2)
(67,14,3)
(85,14,5)
